name,year,selling_price_inr,km_driven,fuel,seller_type,transmission,owner,seats,engine_cc,max_power_bhp
Hyundai Santro Sportz CNG BSIV,2019.0,540000.0,31000.0,CNG,Dealer,Manual,First Owner,5,1086.0,58.0
Nissan Sunny XV,2011.0,350000.0,47000.0,Petrol,Individual,Manual,Second Owner,5,1498.0,97.7
Hyundai i10 Sportz Option,2009.0,199000.0,70000.0,Petrol,Individual,Manual,Second Owner,5,1197.0,78.9
Tata Indigo CS eVX,2012.0,300000.0,120000.0,Diesel,Individual,Manual,First Owner,5,1396.0,69.0
Mahindra Scorpio S8 7 Seater,2015.0,925000.0,67000.0,Diesel,Dealer,Manual,First Owner,7,2179.0,120.0
Hyundai Grand i10 1.2 Kappa Sportz BSIV,2018.0,500000.0,20000.0,Petrol,Individual,Manual,First Owner,5,1197.0,81.86
Maruti A Star Vxi,2013.0,275000.0,55000.0,Petrol,Dealer,Manual,First Owner,5,998.0,66.1
Maruti Eeco 5 Seater AC BSIV,2016.0,392000.0,38000.0,Petrol,Individual,Manual,First Owner,5,1196.0,73.0
Maruti Ertiga VXI Petrol,2019.0,830000.0000000001,23000.0,Petrol,Dealer,Manual,First Owner,7,1462.0,103.0
Hyundai Grand i10 1.2 Kappa Sportz AT,2018.0,650000.0,10000.0,Petrol,Individual,Automatic,Second Owner,5,1197.0,81.86
Hyundai EON Era Plus,2012.0,295000.0,295000.0,Petrol,Dealer,Manual,First Owner,5,814.0,55.2
Tata Hexa XM,2018.0,800000.0,25000.0,Diesel,Individual,Manual,First Owner,7,2179.0,153.86
Audi Q3 2.0 TDI Quattro Premium Plus,2013.0,1800000.0,80000.0,Diesel,Dealer,Automatic,First Owner,5,1968.0,174.33
Mahindra Bolero PLUS AC,2016.0,585000.0,58800.0,Diesel,Dealer,Manual,First Owner,7,2523.0,63.0
Maruti Swift VXI Deca,2016.0,500000.0,22947.0,Petrol,Individual,Manual,First Owner,5,1197.0,81.8
Mahindra Bolero DI DX 7 Seater,2009.0,350000.0,15000.0,Diesel,Individual,Manual,First Owner,7,2523.0,63.0
Maruti Swift LDI BSIV,2015.0,550000.0,50000.0,Diesel,Individual,Manual,First Owner,5,1248.0,74.0
Tata Tiago 1.2 Revotron XZ,2018.0,525000.0,16000.0,Petrol,Dealer,Manual,First Owner,5,1199.0,84.0
Maruti Ritz VXI ABS,2012.0,275000.0,73000.0,Petrol,Dealer,Manual,First Owner,5,1197.0,85.8
Audi A6 2.0 TDI Premium Plus,2013.0,1390000.0,45000.0,Diesel,Dealer,Automatic,First Owner,5,1968.0,174.33
Maruti A-Star Vxi,2010.0,200000.0,65000.0,Petrol,Individual,Manual,Second Owner,5,998.0,66.1
Honda Jazz 1.5 V i DTEC,2016.0,490000.00000000006,19000.0,Diesel,Dealer,Manual,First Owner,5,1498.0,98.6
Maruti Ciaz ZDi Plus SHVS,2017.0,650000.0,60000.0,Diesel,Individual,Manual,First Owner,5,1248.0,88.5
Chevrolet Sail Hatchback 1.2 LT ABS,2016.0,360000.0,60000.0,Petrol,Individual,Manual,First Owner,5,1199.0,82.5
Hyundai Creta 1.4 E Plus,2018.0,946000.0,60000.0,Diesel,Individual,Manual,First Owner,5,1396.0,88.7
Maruti Ciaz 1.4 Delta,2018.0,811999.9999999999,2700.0,Petrol,Individual,Manual,First Owner,5,1373.0,91.1
Datsun GO Plus T BSIV,2017.0,430000.0,40000.0,Petrol,Individual,Manual,First Owner,7,1198.0,67.0
Honda Jazz 1.2 V AT i VTEC,2015.0,600000.0,80000.0,Petrol,Individual,Automatic,First Owner,5,1199.0,88.7
Maruti Alto 800 VXI,2018.0,345000.0,17000.0,Petrol,Dealer,Manual,First Owner,5,796.0,47.3
Maruti Swift ZXI ABS,2008.0,204999.99999999997,57000.0,Petrol,Dealer,Manual,First Owner,5,1298.0,88.2
Hyundai Grand i10 Magna,2015.0,360000.0,55000.0,Petrol,Dealer,Manual,First Owner,5,1197.0,82.0
Tata Tiago 2019-2020 XZ Plus Dual Tone,2019.0,450000.0,3500.0,Petrol,Individual,Manual,First Owner,5,1199.0,83.83
Hyundai Grand i10 Sportz,2015.0,400000.0,128000.0,Petrol,Individual,Manual,First Owner,5,1197.0,82.0
Mahindra Scorpio VLX 2WD AIRBAG BSIII,2012.0,525000.0,120000.0,Diesel,Individual,Manual,First Owner,8,2179.0,120.0
Tata Indica Vista Quadrajet ZX,2012.0,250000.0,40000.0,Diesel,Individual,Manual,First Owner,5,1248.0,74.0
Audi Q5 40 TDI Technology,2020.0,4675000.0,19000.0,Diesel,Dealer,Automatic,First Owner,5,1968.0,188.0
Volkswagen Polo 2015-2019 GT TSI,2017.0,700000.0,70000.0,Petrol,Individual,Automatic,First Owner,5,1197.0,103.5
Toyota Etios V,2011.0,325000.0,66000.0,Petrol,Dealer,Manual,First Owner,5,1496.0,88.73
Datsun GO T BSIV,2014.0,225000.0,40000.0,Petrol,Individual,Manual,First Owner,5,1198.0,67.0
Honda Civic 1.8 V AT,2007.0,320000.0,60000.0,Petrol,Individual,Automatic,First Owner,5,1799.0,130.0
Tata Indica DLS BSIII,2016.0,325000.0,20000.0,Diesel,Individual,Manual,First Owner,5,1405.0,48.21
Hyundai Elite i20 Diesel Sportz,2019.0,700000.0,60000.0,Diesel,Individual,Manual,First Owner,5,1396.0,88.76
Toyota Etios G,2012.0,335000.0,44000.0,Petrol,Dealer,Manual,First Owner,5,1496.0,88.73
Maruti SX4 ZDI Leather,2012.0,350000.0,70000.0,Diesel,Individual,Manual,Second Owner,5,1248.0,88.8
Chevrolet Spark 1.0 PS,2010.0,100000.0,70000.0,Petrol,Individual,Manual,First Owner,5,995.0,63.0
Mahindra KUV 100 mFALCON G80 K8,2016.0,385000.0,32000.0,Petrol,Individual,Manual,First Owner,6,1198.0,82.0
Mahindra Bolero 2011-2019 SLX,2017.0,690000.0,60000.0,Diesel,Individual,Manual,First Owner,7,2523.0,62.1
Hyundai i20 1.4 CRDi Sportz,2014.0,365000.0,63000.0,Diesel,Dealer,Manual,First Owner,5,1396.0,90.0
Maruti Omni 8 Seater BSII,2008.0,160000.0,70000.0,Petrol,Individual,Manual,Fourth & Above Owner,8,796.0,35.0
Maruti Ritz VDi,2011.0,350000.0,118000.0,Diesel,Individual,Manual,Second Owner,5,1248.0,73.9
Honda Jazz VX CVT,2019.0,840000.0,1500.0,Petrol,Individual,Automatic,First Owner,5,1199.0,88.7
Maruti Alto LXi BSIII,2008.0,140000.0,35000.0,Petrol,Individual,Manual,First Owner,5,796.0,46.3
Hyundai i10 Magna,2007.0,245000.00000000003,97000.0,Petrol,Dealer,Manual,First Owner,5,1197.0,78.9
Toyota Innova Crysta 2016-2020 2.4 G MT 8 STR,2017.0,1350000.0,68000.0,Diesel,Dealer,Manual,First Owner,8,2393.0,147.51
Maruti Ciaz VXi,2016.0,615000.0,21000.0,Petrol,Dealer,Manual,First Owner,5,1373.0,91.1
Hyundai Creta 1.6 SX Option,2015.0,965000.0,63000.0,Petrol,Dealer,Manual,First Owner,5,1591.0,121.3
Mercedes-Benz GL-Class 350 CDI Blue Efficiency,2015.0,3700000.0,115000.0,Diesel,Dealer,Automatic,First Owner,7,2987.0,254.8
Maruti Wagon R LXI,2012.0,249000.00000000003,72300.0,Petrol,Dealer,Manual,First Owner,5,998.0,67.05
Mercedes-Benz S-Class S 350 L,2008.0,999000.0,72000.0,Petrol,Dealer,Automatic,First Owner,5,3498.0,364.9
Toyota Innova Crysta 2016-2020 2.4 ZX MT BSIV,2017.0,2100000.0,44000.0,Diesel,Individual,Manual,First Owner,7,2393.0,147.8
BMW 3 Series 320d Prestige,2013.0,1155000.0,83000.0,Diesel,Dealer,Automatic,First Owner,5,1995.0,184.0
Renault KWID RXL,2017.0,300000.0,20000.0,Petrol,Individual,Manual,First Owner,5,799.0,53.3
Hyundai Verna 1.6 CRDi SX,2015.0,530000.0,80000.0,Diesel,Individual,Manual,First Owner,5,1582.0,126.2
Mahindra Marazzo M4,2018.0,1050000.0,41000.0,Diesel,Individual,Manual,First Owner,7,1497.0,121.0
Maruti Ritz VXi,2012.0,350000.0,80000.0,Petrol,Individual,Manual,First Owner,5,1197.0,85.8
Datsun GO A Petrol,2016.0,275000.0,49000.0,Petrol,Dealer,Manual,First Owner,5,1198.0,67.05
Maruti Baleno Alpha 1.2,2018.0,711000.0,26000.0,Petrol,Individual,Manual,First Owner,5,1197.0,83.1
Maruti Swift 1.3 VXi,2013.0,430000.0,54600.0,Petrol,Dealer,Manual,First Owner,,,
Toyota Corolla Altis G AT,2014.0,851000.0,64000.0,Petrol,Dealer,Automatic,First Owner,5,1798.0,138.03
Porsche Macan 2013-2019 R4,2017.0,5975000.0,34000.0,Petrol,Dealer,Automatic,First Owner,5,1984.0,249.0
Mahindra XUV500 W8 2WD,2013.0,600000.0,50000.0,Diesel,Individual,Manual,First Owner,7,2179.0,140.0
Maruti Celerio ZXI MT BSIV,2018.0,425000.0,15000.0,Petrol,Individual,Manual,First Owner,5,998.0,67.04
Honda City 2017-2020 EXi,2007.0,170000.0,110000.0,Petrol,Individual,Manual,Third Owner,5,1497.0,78.0
Toyota Camry Hybrid 2.5,2016.0,1850000.0,85000.0,Petrol,Dealer,Automatic,First Owner,5,2487.0,214.5
Maruti Wagon R AMT VXI,2016.0,395000.0,39000.0,Petrol,Individual,Automatic,First Owner,5,998.0,67.0
Honda Jazz 1.2 V AT i VTEC,2017.0,775000.0,20282.0,Petrol,Dealer,Automatic,First Owner,5,1199.0,88.7
Maruti Vitara Brezza VDi,2018.0,750000.0,30000.0,Diesel,Individual,Manual,First Owner,5,1248.0,88.5
Maruti Alto 800 VXI,2014.0,265000.0,56000.0,Petrol,Dealer,Manual,First Owner,5,796.0,47.3
Chevrolet Enjoy TCDi LS 8 Seater,2014.0,365000.0,68000.0,Diesel,Individual,Manual,First Owner,8,1248.0,73.8
BMW 7 Series 730Ld DPE Signature,2018.0,8500000.0,50000.0,Diesel,Individual,Automatic,First Owner,5,2993.0,261.49
Chevrolet Spark 1.0 PS LPG,2007.0,100000.0,84000.0,LPG,Individual,Manual,Third Owner,5,995.0,60.0
Hyundai Venue SX Plus Turbo DCT BSIV,2019.0,1050000.0,20000.0,Petrol,Individual,Automatic,First Owner,5,998.0,118.35
OpelCorsa 1.4Gsi,2005.0,155000.0,80000.0,Petrol,Dealer,Manual,First Owner,5,1389.0,88.0
Skoda Rapid 1.6 MPI Ambition Plus,2015.0,484999.99999999994,47000.0,Petrol,Dealer,Manual,First Owner,5,1598.0,103.5
Toyota Innova 2.5 G (Diesel) 7 Seater,2015.0,840000.0,120000.0,Diesel,Individual,Manual,Second Owner,7,2494.0,100.6
Volvo XC90 T8 Excellence BSIV,2017.0,10000000.0,30000.0,Petrol,Individual,Automatic,First Owner,4,1969.0,400.0
Honda Brio S Option MT,2011.0,250000.0,29338.0,Petrol,Dealer,Manual,First Owner,5,1198.0,86.8
Maruti Ciaz VDi Plus,2015.0,600000.0,70000.0,Diesel,Individual,Manual,First Owner,5,1248.0,88.5
Honda City i VTEC CVT SV,2016.0,680000.0,80000.0,Petrol,Dealer,Automatic,First Owner,5,1497.0,117.3
Renault Lodgy 110PS RxZ 7 Seater,2017.0,730000.0,54000.0,Diesel,Dealer,Manual,First Owner,7,1461.0,108.5
Mahindra Xylo D2,2011.0,220000.00000000003,120000.0,Diesel,Individual,Manual,First Owner,8,2489.0,95.0
Hyundai Creta 1.6 SX Automatic,2019.0,1350000.0,5000.0,Petrol,Individual,Automatic,First Owner,5,1591.0,121.3
Mahindra Bolero B4,2015.0,445000.0,40200.0,Diesel,Dealer,Manual,First Owner,7,1498.0,74.96
BMW 5 Series 520d Luxury Line,2017.0,3300000.0,21500.0,Diesel,Dealer,Automatic,First Owner,5,1995.0,190.0
Maruti A Star AT VXI,2013.0,365000.0,42500.0,Petrol,Dealer,Automatic,First Owner,5,998.0,66.1
Mahindra XUV500 W8 2WD,2014.0,680000.0,120000.0,Diesel,Individual,Manual,First Owner,7,2179.0,140.0
Honda City i-DTEC VX,2015.0,725000.0,78000.0,Diesel,Dealer,Manual,First Owner,5,1498.0,97.9
Maruti Swift ZXI,2014.0,450000.0,70000.0,Petrol,Individual,Manual,First Owner,5,1197.0,85.8
Toyota Camry 2.5 G,2014.0,1099000.0,53000.0,Petrol,Dealer,Automatic,First Owner,5,2494.0,178.3
Ford Ecosport Sports Diesel,2013.0,475000.0,48000.0,Diesel,Dealer,Manual,Second Owner,5,1498.0,98.96
Audi Q5 2.0 TDI,2013.0,1525000.0,70000.0,Diesel,Dealer,Automatic,First Owner,5,1968.0,174.3
Ford Ecosport 2015-2021 1.5 Diesel Trend BSIV,2017.0,650000.0,115000.0,Diesel,Dealer,Manual,First Owner,5,1498.0,98.96
Maruti Swift Dzire VDI,2014.0,580000.0,88000.0,Diesel,Individual,Manual,First Owner,5,1248.0,74.0
Toyota Etios Liva 1.4 GD,2013.0,270000.0,52380.0,Diesel,Dealer,Manual,First Owner,5,1364.0,67.04
Honda City 1.5 S MT,2011.0,350000.0,68000.0,Petrol,Dealer,Manual,First Owner,5,1497.0,118.0
Hyundai Grand i10 Sportz,2014.0,360000.0,50000.0,Petrol,Individual,Manual,First Owner,5,1197.0,82.0
Nissan Terrano XV D Pre,2014.0,495000.0,68000.0,Diesel,Dealer,Manual,First Owner,5,1461.0,108.6
Hyundai i10 Magna,2012.0,220000.0,67000.0,Petrol,Individual,Manual,Second Owner,5,1197.0,78.9
Ford Ecosport 2015-2021 1.5 TDCi Trend Plus BSIV,2015.0,500000.0,160000.0,Diesel,Individual,Manual,First Owner,5,1498.0,98.59
